degree,coefficients,input_sequence,target_sequence
4,"5,-4,-6,-5,-7,0","-469,-83,1,5,-17,-179,-763,-2219,-5165",-10387
2,"-7,-1,4,0,0,0","1271,1418,1573,1736,1907,2086,2273,2468,2671,2882",3101
1,"7,4,0,0,0,0","55,59,63,67,71,75,79,83,87",91
2,"-4,-3,-1,0,0,0","-464,-508,-554,-602,-652",-704
5,"6,-1,-2,-5,9,-10","33479226,25967477,19869000,14974269,11095574,8065821,5737332,3980645",2683314
2,"7,2,4,0,0,0","2169,2359,2557,2763,2977,3199,3429,3667",3913
3,"-4,9,-9,-9,0,0","1562,851,392,131,14,-13,-4",-13
4,"3,6,8,9,5,0","3762811,4300383,4893601,5546179,6261951,7044871,7899013,8828571,9837859,10931311",12113481
5,"-8,1,-5,-10,9,9","-465524,-253264,-126484,-56354,-21388",-6364
4,"-5,1,-2,-3,6,0","61,385,1311,3325,7057,13281,22915,37021,56805",83617
3,"1,4,-8,9,0,0","14449,18474,23185,28636,34881,41974,49969,58920,68881",79906
2,"1,4,7,0,0,0","97,52,21,4,1",12
2,"-6,-9,-3,0,0,0","-216,-270,-330,-396,-468,-546,-630,-720,-816",-918
4,"-1,2,-7,-3,1,0","467342,543367,628284,722759,827482,943167,1070552,1210399,1363494",1530647
2,"5,-1,-8,0,0,0","-2027,-1780,-1549,-1334,-1135,-952,-785,-634,-499",-380
4,"4,8,-10,2,1,0","5,12,73,260,669,1420,2657",4548
5,"9,1,-6,-9,-3,-1","-165,-771,-2451,-6261,-13809,-27375,-50031",-85761
3,"9,6,-9,-8,0,0","-223911,-246782,-271159,-297090,-324623,-353806,-384687,-417314,-451735,-487998",-526151
2,"-1,7,10,0,0,0","2354,2671,3008,3365,3742,4139,4556",4993
5,"2,-3,2,8,9,5","108467,204906,360263,598172,947883,1444862,2131391,3057168",4279907
2,"-5,1,6,0,0,0","-5,2,21,52,95,150,217,296,387",490
2,"3,7,10,0,0,0","6945,7482,8039,8616,9213,9830",10467
4,"-8,0,-7,-3,-5,0","-633563,-509660,-404897,-317192,-244583",-185228
5,"-1,9,-8,1,-10,-10","64241,24629,7451,1493,101,-19,-1,-19,-487",-3259
4,"4,1,9,-9,-10,0","-14570,-26645,-44980,-71429,-108086,-157285",-221600
3,"7,-4,1,-9,0,0","15751,12151,9147,6685,4711,3171,2011,1177",615
5,"9,-3,5,1,4,-5","-19631169,-24818125,-31047599,-38469375,-47246941,-57558089",-69595515
5,"9,-8,10,2,-10,-7","-47823362,-59022903,-72228316,-87697679,-105710310",-126567607
4,"5,4,0,-10,3,0","1624565,1878074,2160125,2472782,2818181,3198530,3616109,4073270",4572437
4,"0,9,-5,-4,9,0","333914,441135,572304,730745,919998",1143819
4,"-5,-4,2,6,3,0","52171,36218,24235,15502,9371",5266
2,"10,8,2,0,0,0","34,52,74,100,130,164,202,244",290
4,"-8,-6,-9,6,-5,0","-24088,-14470,-8072,-4078,-1792",-638
2,"-6,-5,6,0,0,0","1450,1643,1848,2065,2294",2535
4,"6,4,4,7,9,0","24240,40742,64518,97446,141620,199350,273162",365798
2,"5,-6,-1,0,0,0","-562,-611,-662,-715,-770",-827
1,"-1,-3,0,0,0,0","-61,-64,-67,-70,-73,-76,-79,-82",-85
5,"1,4,7,-3,2,6","48401953,59332601,72154317,87102487,104431265,124414293,147345421",173539427
2,"-7,7,2,0,0,0","582,515,452,393,338",287
5,"8,-5,5,-10,0,-10","-205351312,-243265642,-286584762,-335867032,-391708012,-454741662,-525641542",-605122012
1,"-7,4,0,0,0,0","97,101,105,109,113,117,121",125
4,"2,6,-4,7,9,0","9974,4622,1770,488,62,-6",2
4,"-3,3,7,8,-9,0","-9669,-18504,-32299,-52626,-81273",-120244
1,"7,1,0,0,0,0","3,4,5,6,7",8
1,"3,-8,0,0,0,0","123,115,107,99,91,83,75,67",59
1,"2,6,0,0,0,0","-94,-88,-82,-76,-70,-64,-58,-52",-46
3,"4,-4,-7,3,0,0","6808,8494,10436,12652,15160,17978,21124,24616,28472,32710",37348
3,"7,-5,7,-4,0,0","-82453,-91807,-101843,-112585,-124057,-136283",-149287
3,"-2,5,-7,-2,0,0","-31562,-35502,-39756,-44336,-49254,-54522",-60152
1,"-10,9,0,0,0,0","143,152,161,170,179,188",197
2,"0,-9,9,0,0,0","648,504,378,270,180,108,54,18",0
2,"5,-3,5,0,0,0","203,145,97,59,31,13,5,7,19,41",73
2,"-8,-10,5,0,0,0","32,67,112,167,232",307
1,"1,8,0,0,0,0","209,217,225,233,241,249,257,265,273,281",289
5,"3,1,-5,-9,-9,-7","-150167246,-177637467,-208988636,-244618205,-284949882,-330434471,-381550712,-438806121,-502737830",-573913427
3,"5,-6,10,2,0,0","46499,51581,57019,62825,69011,75589,82571,89969,97795",106061
2,"5,-8,-7,0,0,0","-634,-775,-930,-1099,-1282,-1479,-1690,-1915,-2154,-2407",-2674
3,"-9,-9,3,-6,0,0","-62643,-71631,-81441,-92109,-103671,-116163,-129621,-144081,-159579",-176151
5,"3,8,6,-9,-5,-1","17219,8130,3411,1238,387,114,35,6",3
1,"-7,-6,0,0,0,0","41,35,29,23,17,11,5,-1,-7,-13",-19
5,"6,2,10,-3,-8,4","8844905,11500046,14757231,18713426,23475485,29160630,35896931",43823786
2,"-9,-10,-8,0,0,0","-2707,-2421,-2151,-1897,-1659,-1437,-1231,-1041,-867,-709",-567
4,"8,0,6,-1,3,0","43326,61352,84508,113688,149858,194056,247392,311048",386278
2,"-4,7,5,0,0,0","524,426,338,260,192",134
1,"6,-4,0,0,0,0","46,42,38,34,30,26,22,18,14",10
1,"7,6,0,0,0,0","-107,-101,-95,-89,-83,-77,-71,-65,-59",-53
2,"7,7,1,0,0,0","7,1,-3,-5,-5,-3",1
1,"-3,7,0,0,0,0","11,18,25,32,39,46",53
3,"3,3,7,-6,0,0","-18627,-22733,-27401,-32667,-38567,-45137",-52413
5,"-5,-7,-3,8,-10,8","2701707,3939693,5594965,7765131,10561959,14112337",18559233
3,"0,2,4,10,0,0","34680,42016,50320,59652,70072",81640
2,"-7,-10,-8,0,0,0","-1895,-1657,-1435,-1229,-1039,-865,-707,-565,-439,-329",-235
5,"-10,10,-3,-4,10,3","-1759210,-1219074,-820128,-532786,-331902,-196410,-108964,-55578,-25266,-9682",-2760
5,"5,-5,2,8,-3,-3","308,7,4,5,4,-77,-748",-3311
4,"8,8,-5,9,-1,0","-140660,-172791,-210040,-252917,-301956,-357715,-420776",-491745
3,"-9,1,7,2,0,0","31695,35641,39901,44487,49411",54685
2,"4,5,5,0,0,0","1904,1714,1534,1364,1204,1054,914",784
3,"9,2,9,-7,0,0","23,9,13,-7,-93,-287",-631
4,"10,7,7,0,9,0","1442670,1175293,946936,753603,591514,457105",347028
1,"-9,2,0,0,0,0","-33,-31,-29,-27,-25,-23,-21,-19,-17,-15",-13
4,"5,-5,-8,-4,10,0","371551,490880,636853,813166,1023755,1272796",1564705
5,"-10,9,-2,-2,-4,2","-852901,-577558,-378355,-238300,-143137,-81106,-42703,-20440",-8605
2,"-5,4,-1,0,0,0","-530,-577,-626,-677,-730,-785,-842,-901",-962
1,"-6,10,0,0,0,0","214,224,234,244,254,264,274,284,294,304",314
4,"0,-6,-8,2,-10,0","-64854,-98860,-144782,-205128,-282646,-380324,-501390,-649312,-827798,-1040796",-1292494
2,"2,-9,-1,0,0,0","-110,-134,-160,-188,-218,-250",-284
2,"-3,0,8,0,0,0","5,29,69,125,197,285,389,509,645,797",965
2,"-1,7,8,0,0,0","1469,1260,1067,890,729",584
4,"3,6,-5,8,-4,0","-600,-157,-20,3,8,-5,-132,-565,-1592",-3597
1,"-2,5,0,0,0,0","118,123,128,133,138,143,148,153",158
2,"-5,-6,-6,0,0,0","-437,-545,-665,-797,-941,-1097,-1265,-1445,-1637",-1841
4,"-5,5,-1,-2,7,0","1618117,1934134,2294323,2702620,3163129,3680122,4258039,4901488,5615245,6404254",7273627
1,"-9,10,0,0,0,0","211,221,231,241,251,261,271",281
5,"-1,-9,10,4,6,3","245,1385,4987,13829,32273",66625
5,"2,0,4,3,6,10","354050,632369,1063402,1702835,2618498",3891565
3,"10,-5,3,2,0,0","520,808,1186,1666,2260,2980,3838,4846,6016",7360
1,"6,-5,0,0,0,0","-19,-24,-29,-34,-39,-44,-49,-54",-59
5,"-1,9,6,8,-4,10","-11717,-2944,-443,-26,-1,28,361",2402
4,"1,9,7,10,-3,0","-106586,-78587,-56484,-39389,-26486",-17031
5,"-10,-2,-6,-9,-3,-4","-70887778,-84391054,-99878470,-117561124,-137664586",-160429378
3,"7,9,-1,8,0,0","23,85,241,539,1027,1753,2765,4111,5839",7997
4,"-3,2,-7,-9,9,0","6140196,7040757,8036902,9135165,10342296",11665261
5,"-9,-6,4,2,5,3","-251549,-145431,-78553,-38873,-17109,-6379",-1841
5,"2,-2,7,5,-4,-4","-5986956,-7946782,-10388894,-13397238,-17064976,-21494966,-26800242,-33104494",-40542548
2,"7,-6,-8,0,0,0","-1477,-1267,-1073,-895,-733,-587,-457",-343
5,"-4,8,2,-10,1,-1","1552946,1155452,844076,603956,422054,287036,189152,120116,72986,42044",22676
4,"-3,0,5,6,-7,0","-185903,-251471,-333003,-432899,-553727,-698223,-869291,-1070003,-1303599",-1573487
5,"-2,4,-6,5,-4,-4","-100310282,-118067377,-138254210,-161111975,-186897322",-215882837
3,"-8,-5,-9,-2,0,0","-51108,-56500,-62258,-68394,-74920,-81848,-89190,-96958,-105164,-113820",-122938
3,"-2,4,-1,-10,0,0","-68877,-80322,-92969,-106878,-122109,-138722,-156777,-176334,-197453,-220194",-244617
3,"-2,3,5,2,0,0","-20,-4,-2,-2,8,40",106
3,"-5,-2,4,-4,0,0","-2615,-3625,-4867,-6365,-8143,-10225",-12635
2,"-4,-6,5,0,0,0","4316,4615,4924,5243,5572,5911,6260,6619,6988,7367",7756
3,"1,9,-5,-2,0,0","1959,1411,973,633,379,199,81,13,-17",-21
4,"-1,-8,10,3,4,0","973631,1160970,1374143,1615424,1887183,2191886,2532095",2910468
5,"-10,6,-7,-4,-5,-6","-106428626,-126706578,-149964130,-176518226,-206707530,-240893146,-279459338",-322814250
5,"-7,-2,-9,4,2,-8","-162584708,-192680167,-227075720,-266216519,-310577428,-360663983,-417013352,-480195295",-550813124
2,"2,-5,-5,0,0,0","-1048,-908,-778,-658,-548,-448",-358
3,"4,-9,-4,-5,0,0","130,46,14,4,-14,-70,-194,-416,-766,-1274",-1970
2,"4,10,-9,0,0,0","-635,-796,-975,-1172,-1387,-1620,-1871,-2140,-2427",-2732
1,"-4,-9,0,0,0,0","-31,-40,-49,-58,-67",-76
1,"9,-5,0,0,0,0","-101,-106,-111,-116,-121,-126,-131",-136
5,"9,6,0,-5,-7,2","-1,9,5,-67,-189,-31,1289,5445,15143",34361
3,"-5,-3,-1,2,0,0","18013,20741,23731,26995,30545,34393,38551,43031,47845",53005
2,"2,7,2,0,0,0","32,17,6,-1,-4,-3,2,11",24
2,"-9,0,-1,0,0,0","-178,-205,-234,-265,-298",-333
1,"-10,-4,0,0,0,0","-114,-118,-122,-126,-130,-134",-138
4,"6,8,1,-8,7,0","5366,2294,774,170,14",6
2,"4,4,-3,0,0,0","-1360,-1491,-1628,-1771,-1920,-2075,-2236,-2403,-2576",-2755
2,"-3,10,6,0,0,0","497,393,301,221,153,97,53,21,1",-7
1,"10,10,0,0,0,0","70,80,90,100,110,120,130",140
1,"7,8,0,0,0,0","183,191,199,207,215,223,231",239
5,"6,8,-4,-7,-7,-6","536526,313080,171206,86190,38910,15116,4710,1026,110",0
5,"-9,3,9,-2,2,-7","239135,123548,57753,23576,7931,1980,293,8,-9",-4
2,"2,4,-4,0,0,0","-1222,-1366,-1518,-1678,-1846,-2022",-2206
3,"-9,0,5,8,0,0","-45045,-37868,-31497,-25884,-20981,-16740,-13113,-10052",-7509
2,"-2,-6,5,0,0,0","457,366,285,214,153,102,61",30
1,"9,-8,0,0,0,0","-47,-55,-63,-71,-79,-87,-95,-103",-111
5,"-9,-7,-2,10,-5,-6","-19920949,-25385439,-31987723,-39896821,-49297713,-60392059,-73398919,-88555473",-106117741
1,"-2,3,0,0,0,0","43,46,49,52,55,58,61,64,67,70",73
4,"6,9,-1,-8,8,0","556662,431646,328964,245784,179466,127562,87816,58164",36734
2,"-4,9,2,0,0,0","727,806,889,976,1067,1162,1261",1364
1,"5,4,0,0,0,0","77,81,85,89,93",97
3,"-2,-8,-4,-1,0,0","-15,-42,-89,-162,-267",-410
5,"-8,7,1,-1,1,-5","-7,-8,-5,-142,-1139",-4892
3,"2,-2,3,-2,0,0","-22791,-25966,-29423,-33174,-37231,-41606,-46311,-51358",-56759
4,"-7,2,-9,-5,3,0","52289,73196,99785,132998,173849,223424,282881",353450
2,"-9,-5,-5,0,0,0","-3259,-3519,-3789,-4069,-4359,-4659,-4969",-5289
4,"7,-1,3,2,3,0","145822,110369,81816,59203,41642,28317,18484",11471
4,"1,-9,7,4,-9,0","-55646,-85389,-125696,-178811,-247194",-333521
2,"5,4,5,0,0,0","293,222,161,110,69,38,17,6",5
5,"4,-3,-7,0,-8,10","294444,537412,919274,1492506,2321392",3483224
2,"-8,1,-1,0,0,0","-314,-280,-248,-218,-190,-164,-140,-118,-98",-80
4,"-8,6,0,7,-10,0","-529973,-403460,-301075,-219536,-155801",-107068
2,"5,5,-10,0,0,0","-5170,-5635,-6120,-6625,-7150",-7695
3,"4,5,-4,6,0,0","80764,91379,102886,115321,128720,143119,158554,175061",192676
3,"-10,3,-7,10,0,0","-51214,-42810,-35380,-28864,-23202,-18334,-14200,-10740,-7894,-5602",-3804
5,"9,-10,6,-5,-2,1","448317,642459,898409,1229823,1652229,2183147,2842209,3651279,4634573,5818779",7233177
1,"-5,6,0,0,0,0","79,85,91,97,103",109
3,"-3,-7,6,-3,0,0","13933,11577,9503,7693,6129,4793,3667,2733,1973,1369",903
1,"-5,7,0,0,0,0","205,212,219,226,233,240,247,254",261
5,"6,-6,-10,7,-2,-1","1635666,1215642,886374,632346,439914",297186
2,"-6,-7,1,0,0,0","38,24,12,2,-6,-12,-16,-18,-18,-16",-12
3,"-3,-2,-9,-6,0,0","-252,-539,-988,-1635,-2516,-3667,-5124,-6923,-9100,-11691",-14732
2,"-2,-7,-8,0,0,0","-332,-443,-570,-713,-872,-1047,-1238,-1445,-1668,-1907",-2162
1,"-8,-10,0,0,0,0","82,72,62,52,42,32",22
1,"7,1,0,0,0,0","31,32,33,34,35,36",37
1,"-2,2,0,0,0,0","-14,-12,-10,-8,-6,-4",-2
4,"9,-2,5,5,9,0","26,209,912,2705,6374,12921,23564,39737,63090",95489
1,"-8,8,0,0,0,0","16,24,32,40,48",56
2,"9,-10,-8,0,0,0","-3,11,9,-9,-43,-93,-159,-241",-339
4,"1,3,-6,10,-9,0","-100629,-66851,-42391,-25353,-14057,-7039,-3051,-1061,-253",-27
1,"2,7,0,0,0,0","-103,-96,-89,-82,-75,-68,-61,-54,-47",-40
1,"4,10,0,0,0,0","124,134,144,154,164,174",184
3,"-9,6,-6,4,0,0","45623,51975,58891,66395,74511",83263
2,"8,-1,6,0,0,0","218,295,384,485,598,723",860
4,"10,-3,9,-5,8,0","595,1870,4595,9604,17923,30770,49555,75880",111539
5,"-4,1,-7,-7,-8,-1","-22286744,-26345982,-30975274,-36232556,-42179556,-48881914",-56409302
5,"-7,8,1,-5,-1,-6","-7,-10,-235,-1648,-6679,-19942,-48955,-104860",-203143
2,"10,-3,3,0,0,0","1270,1396,1528,1666,1810,1960,2116,2278",2446
4,"-3,4,1,-2,-10,0","-2363287,-2822126,-3344739,-3936778,-4604135,-5352942,-6189571,-7120634,-8152983,-9293710",-10550147
4,"-2,-7,1,-1,6,0","775293,952258,1157917,1395216,1667245,1977238",2328573
2,"9,-1,6,0,0,0","101,154,219,296,385,486",599
5,"7,-1,-7,-4,-5,-9","16502317,12378761,9124119,6593197,4657961,3206457,2141731,1380749",853317
5,"9,4,-3,-9,9,5","108699375,128544429,151186575,176911497,206023695,238847085,275725599",317023785
2,"-6,-2,-1,0,0,0","-126,-149,-174,-201,-230,-261",-294
2,"-2,4,8,0,0,0","4322,4702,5098,5510,5938,6382,6842",7318
2,"1,-3,-6,0,0,0","-629,-758,-899,-1052,-1217,-1394,-1583,-1784,-1997",-2222
3,"6,-2,7,6,0,0","-1026,-559,-258,-87,-10,9",6
2,"5,-9,-5,0,0,0","-111,-165,-229,-303,-387",-481
5,"-2,3,0,4,0,2","-2859419,-2113586,-1532297,-1086668,-751415,-504614,-327461,-204032",-121043
1,"-6,-6,0,0,0,0","-138,-144,-150,-156,-162",-168
3,"-5,-3,-8,8,0,0","105907,119920,135117,151546,169255,188292,208705",230542
2,"-2,10,-2,0,0,0","-354,-410,-470,-534,-602,-674,-750,-830",-914
5,"-10,-7,4,-9,1,2","33065,65214,118349,201320,325161,503330,751949,1090044,1539785",2126726
3,"-7,5,4,6,0,0","165743,182738,200857,220136,240611,262318,285293,309572",335191
2,"3,6,8,0,0,0","6905,7383,7877,8387,8913,9455,10013,10587",11177
3,"4,-8,6,-5,0,0","-28,-101,-252,-511,-908",-1473
2,"-6,6,-5,0,0,0","-1734,-1553,-1382,-1221,-1070,-929,-798,-677,-566,-465",-374
5,"-6,4,6,3,-4,1","-698606,-491172,-336150,-222932,-142446",-87036
5,"3,10,-2,9,10,4","-46470,-20217,-7472,-2181,-450,-65",-12
2,"-10,-9,5,0,0,0","-14,-8,8,34,70,116,172,238",314
4,"9,1,8,8,10,0","108819,158046,222357,304560,407703,535074,690201",876852
4,"8,-10,-10,10,6,0","568484,449284,349864,267908,201244,147844",105824
2,"9,-7,-4,0,0,0","-786,-677,-576,-483,-398,-321,-252,-191",-138
3,"-7,0,5,8,0,0","113465,128118,143981,161102,179529,199310,220493,243126,267257,292934",320205
1,"1,9,0,0,0,0","37,46,55,64,73",82
3,"7,10,-7,-3,0,0","-107,-257,-493,-833,-1295,-1897,-2657,-3593",-4723
4,"-5,-8,-10,3,8,0","19686,33595,53788,81915,119818,169531,233280,313483",412750
3,"1,-8,0,2,0,0","385,631,961,1387,1921,2575",3361
4,"-7,-4,5,-7,-4,0","-17,-115,-487,-1415,-3277,-6547,-11795,-19687,-30985,-46547",-67327
5,"-10,-8,8,-5,4,3","3862,11400,27662,58636,112566,200312,335710,535932,821846",1218376
4,"8,-9,-4,9,8,0","3262908,3811062,4425524,5111436,5874132,6719138,7652172",8679144
3,"8,9,4,-3,0,0","-11112,-13422,-16030,-18954,-22212,-25822",-29802
5,"-8,7,9,-9,3,-4","701110,439822,263098,148480,77902,37210,15682,5548,1510",262
3,"10,-2,9,10,0,0","-478,-173,-30,11,10",27
5,"2,8,-3,3,-1,10","-32363,-10766,-2641,-386,-23,2,19,334,2429,10162",30967
4,"8,1,-9,0,-10,0","-6462,-13270,-24436,-41520,-66322,-100882,-147480,-208636,-287110,-385902",-508252
4,"-5,3,-10,-9,-1,0","143,58,5,-10,-5,-22,-127,-410",-985
4,"8,-6,1,10,-3,0","-19952,-30550,-44848,-63614,-87688,-117982",-155480
4,"-7,3,-1,9,1,0","863,-115,-607,-763,-709,-547",-355
4,"1,-9,-8,2,-2,0","-45971,-32812,-22709,-15146,-9655,-5816",-3257
3,"-5,3,0,-1,0,0","483,317,193,105,47,13,-3,-7",-5
4,"9,-7,4,-5,-9,0","-177315,-124544,-84521,-55008,-33983,-19640,-10389,-4856,-1883",-528
2,"4,8,-6,0,0,0","-106,-164,-234,-316,-410,-516,-634",-764
5,"9,-1,10,-4,-6,8","-2220,-269,10,9,16,175",1446
4,"-3,5,0,4,1,0","399,97,-23,-45,-29",-11
5,"1,-10,-3,-2,4,1","9260113,11294751,13671841,16432849,19622457",23288683
3,"-8,-10,-5,10,0,0","-13813,-10408,-7613,-5368,-3613,-2288",-1333
4,"1,-10,-8,2,-8,0","-170375,-120647,-82699,-54503,-34223,-20215,-11027",-5399
3,"1,-5,-10,-10,0,0","-14574,-18779,-23724,-29469,-36074,-43599",-52104
2,"9,0,2,0,0,0","587,521,459,401,347,297,251",209
2,"10,-4,-4,0,0,0","-158,-110,-70,-38,-14,2",10
5,"-4,3,4,10,-1,-9","145603,66650,26331,8368,1859,198",-5
1,"0,6,0,0,0,0","114,120,126,132,138,144,150,156,162,168",174
4,"-4,0,10,1,6,0","229708,170855,124124,87721,59996,39443,24700,14549,7916",3871
4,"10,-7,6,2,10,0","1618270,1965841,2366616,2825767,3348706,3941085,4608796,5357971,6194982",7126441
4,"-10,8,3,-10,2,0","363650,439773,527222,627065,740418,868445,1012358,1173417,1352930",1552253
1,"1,-6,0,0,0,0","-41,-47,-53,-59,-65,-71,-77",-83
4,"-9,7,-7,4,-3,0","-95754,-70221,-50180,-34779,-23238",-14849
2,"5,9,-5,0,0,0","-1777,-1593,-1419,-1255,-1101,-957,-823,-699",-585
2,"10,10,-2,0,0,0","-818,-902,-990,-1082,-1178,-1278,-1382,-1490,-1602,-1718",-1838
3,"-3,3,-2,10,0,0","-34248,-27877,-22350,-17607,-13588,-10233",-7482
3,"-7,-8,-4,9,0,0","155265,174008,194201,215898,239153,264020,290553,318806",348833
2,"-7,4,-7,0,0,0","-747,-610,-487,-378,-283,-202,-135",-82
2,"0,-10,-5,0,0,0","-840,-715,-600,-495,-400,-315",-240
2,"-10,7,1,0,0,0","398,440,484,530,578,628,680,734",790
4,"2,6,2,-4,-3,0","-1930038,-2217541,-2536018,-2887617,-3274558,-3699133,-4163706,-4670713,-5222662,-5822133",-6471778
4,"-1,5,9,-9,-2,0","-208574,-259435,-319030,-388301,-468238,-559879,-664310",-782665
3,"0,10,1,-7,0,0","-187800,-207266,-228032,-250140,-273632",-298550
5,"-1,-10,-9,7,2,1","482,1799,4974,11495,23498,43887,76454,125999,198450,300983",442142
1,"-7,-6,0,0,0,0","-97,-103,-109,-115,-121,-127,-133,-139,-145,-151",-157
2,"7,2,-5,0,0,0","-4433,-4736,-5049,-5372,-5705,-6048,-6401,-6764,-7137",-7520
1,"5,-8,0,0,0,0","157,149,141,133,125,117,109",101
5,"0,10,-2,3,-7,5","-5714592,-4161975,-2966796,-2063451,-1394904,-912087,-573300,-343611,-194256,-102039",-48732
4,"5,1,-3,3,1,0","10279,6695,4127,2365,1223,539,175,17",-25
3,"10,-6,5,9,0,0","25602,31420,38058,45570,54010",63432
3,"-2,1,2,-5,0,0","-59756,-67946,-76852,-86504,-96932,-108166,-120236",-133172
3,"8,-6,10,-10,0,0","72322,61676,52130,43624,36098,29492",23746
5,"-7,-3,1,-2,-7,5","23,587,3197,11003,29387,66563,134177,247907,428063",700187
5,"-10,-2,1,-4,-9,2","19580278,23836778,28801742,34559986,41202830,48828338,57541558,67454762,78687686,91367770",105630398
3,"-7,-5,-1,-10,0,0","-3521,-5231,-7423,-10157,-13493,-17491,-22211,-27713,-34057",-41303
2,"-5,4,9,0,0,0","2839,2528,2235,1960,1703",1464
2,"-10,-5,10,0,0,0","8255,8840,9445,10070,10715",11380
2,"3,10,8,0,0,0","105,171,253,351,465,595,741,903",1081
4,"-2,-8,5,-1,-7,0","-70582,-103303,-146258,-201385,-270790,-356747,-461698,-588253,-739190,-917455",-1126162
2,"-2,1,-10,0,0,0","-3631,-3260,-2909,-2578,-2267,-1976,-1705,-1454,-1223",-1012
3,"7,8,4,8,0,0","-5573,-3897,-2597,-1625,-933,-473",-197
1,"-8,5,0,0,0,0","77,82,87,92,97",102
1,"3,10,0,0,0,0","-57,-47,-37,-27,-17,-7",3
5,"8,10,-9,6,-8,-1","-62952,-107794,-174792,-271164,-405520,-587982",-830304
3,"5,3,7,2,0,0","6907,8375,10037,11905,13991,16307,18865",21677
2,"-5,-3,-10,0,0,0","-788,-621,-474,-347,-240,-153,-86,-39",-12
2,"8,10,4,0,0,0","1484,1642,1808,1982,2164",2354
1,"6,4,0,0,0,0","46,50,54,58,62,66,70",74
5,"-6,1,5,-7,-2,-7","-296,-2010,-8050,-23876,-58356,-124606,-240830,-431160",-726496
4,"-10,-1,-4,-6,10,0","525605,399844,298119,217154,153913,105600,69659,43774,25869,14108",6895
2,"2,6,5,0,0,0","2785,3026,3277,3538,3809,4090,4381,4682,4993,5314",5645
2,"2,9,10,0,0,0","731,570,429,308,207",126
4,"10,5,-8,10,-5,0","-723090,-883208,-1068552,-1281642,-1525118,-1801740,-2114388",-2466062
5,"-4,-10,-8,5,-7,-3","-1304307,-1870376,-2617579,-3586212,-4822139",-6377152
5,"9,-4,-7,-1,-5,-10","3571200,2385417,1537842,950349,557892,307305,156102",71277
4,"-1,-6,6,-9,-7,0","-322561,-242957,-179063,-128665,-89717,-60341,-38827",-23633
5,"1,-2,1,-1,0,-5","-806486,-1245767,-1858518,-2691695,-3800054",-5246751
5,"0,-3,-8,10,7,-8","-2,-102,-1188,-5900,-19590,-51282,-114632,-228888,-419850,-720830",-1173612
1,"-5,-10,0,0,0,0","-35,-45,-55,-65,-75,-85,-95,-105",-115
2,"8,-10,-4,0,0,0","-3408,-3646,-3892,-4146,-4408,-4678,-4956,-5242",-5536
4,"-1,0,-8,10,-8,0","-976867,-1203201,-1466767,-1771441,-2121291,-2520577",-2973751
4,"-8,10,-2,2,9,0","5267,2096,619,92,-13,-8,11",164
4,"-2,-6,0,9,-6,0","-75935,-108938,-151673,-205886,-273467",-356450
1,"-6,-8,0,0,0,0","-142,-150,-158,-166,-174",-182
5,"7,1,-3,-5,-6,-3","-879965,-1296717,-1858255,-2599403,-3560169,-4786105,-6328667,-8245575,-10601173,-13466789",-16921095
4,"-6,-10,2,-5,-8,0","-2722422,-3202131,-3742602,-4348761,-5025726,-5778807,-6613506",-7535517
5,"5,-6,0,6,8,-10","23,5,3,-151,-1633,-7827",-25525
2,"-3,-10,4,0,0,0","1113,1251,1397,1551,1713,1883,2061,2247,2441",2643
5,"-2,-6,8,-10,-6,-7","12658138,9489415,6989918,5047513,3563362,2451083,1635910,1053853,650858",381967
3,"-9,3,0,-3,0,0","-14697,-17451,-20529,-23949,-27729,-31887,-36441",-41409
3,"-1,-5,-6,1,0,0","2479,3093,3797,4597,5499,6509,7633,8877",10247
2,"-9,0,-8,0,0,0","-809,-977,-1161,-1361,-1577,-1809,-2057,-2321",-2601
3,"4,-10,8,10,0,0","125676,142612,161004,180912,202396,225516",250332
5,"6,0,1,3,-7,-2","-11914622,-14794537,-18205626,-22218119,-26908174,-32358117,-38656682,-45899251,-54188094",-63632609
1,"2,6,0,0,0,0","152,158,164,170,176",182
1,"-8,-3,0,0,0,0","-32,-35,-38,-41,-44,-47,-50",-53
2,"5,8,-9,0,0,0","-3755,-3396,-3055,-2732,-2427,-2140,-1871,-1620",-1387
3,"-4,-7,6,7,0,0","2,62,218,512,986,1682,2642,3908,5522,7526",9962
3,"8,-5,4,-2,0,0","5,-2,-25,-76,-167,-310,-517",-800
2,"-1,-9,-4,0,0,0","-1459,-1616,-1781,-1954,-2135",-2324
5,"3,-6,-7,-10,-1,-10","-174283,-337389,-604959,-1020757,-1639371,-2527413,-3764719",-5445549
2,"1,9,-10,0,0,0","-18,1,0,-21,-62,-123,-204,-305",-426
5,"10,-10,9,-4,-3,-8","2895110,1936786,1251018,775010,456454,252570",129146
1,"10,1,0,0,0,0","17,18,19,20,21,22,23",24
3,"-1,-8,9,-7,0,0","-37,-133,-337,-691,-1237,-2017,-3073,-4447",-6181
3,"-8,4,5,1,0,0","856,1162,1532,1972,2488,3086",3772
4,"-8,-6,-4,9,-4,0","-21208,-12853,-7244,-3703,-1648,-593,-148,-19,-8",-13
5,"-3,3,5,-3,1,-8","-8039,-24613,-61365,-132821,-259243,-467589,-792473,-1277125",-1974351
3,"4,-6,-9,-7,0,0","-10468,-13460,-16974,-21052,-25736,-31068",-37090
